GROUND,555,45,518,27,0
GROUND,15,15,853,87,0
GROUND,15,15,853,171,0
GROUND,15,15,853,254,0
GROUND,15,15,853,334,0
GROUND,15,15,853,417,0
GROUND,15,15,853,500,0
GROUND,45,15,572,87,0
GROUND,45,15,571,170,0
GROUND,45,15,571,255,0
GROUND,45,15,571,335,0
GROUND,45,15,571,416,0
GROUND,45,15,571,500,0
GROUND,75,90,936,656,0
GROUND,15,30,718,486,3
GROUND,15,180,511,335,3
GROUND,15,30,713,202,3
GROUND,15,60,405,215,3
GROUND,15,60,405,398,3
GROUND,15,60,404,585,3
GROUND,30,15,459,87,4
GROUND,15,60,294,214,3
GROUND,15,60,292,397,3
GROUND,15,60,291,585,3
GROUND,15,60,180,214,3
GROUND,15,60,180,396,3
GROUND,15,60,178,584,3
GROUND,30,15,348,87,4
GROUND,30,15,236,87,4
GROUND,15,180,67,333,3
GROUND,15,15,67,87,3
GROUND,15,15,97,170,4
GROUND,15,15,236,335,4
GROUND,15,15,210,365,4
GROUND,15,15,324,307,4
GROUND,15,15,435,353,4
GROUND,15,15,321,525,4
GROUND,15,15,434,596,4
GROUND,15,15,536,594,3
GROUND,15,15,290,700,3
GROUND,15,15,405,700,3
GROUND,15,15,178,700,3
GROUND,15,15,374,543,4
GROUND,90,15,510,700,2
SAVEPOINT,10,10,972,81
SAVEPOINT,10,10,459,111
SAVEPOINT,10,10,96,194
SAVEPOINT,10,10,292,466
SAVEPOINT,10,10,407,466
SAVEPOINT,10,10,405,654
SPIKE,814,72,840,72,827,94.981,0
SPIKE,782,71,808,71,795,93.981,0
SPIKE,748,71,774,71,761,93.981,0
SPIKE,714,71,740,71,727,93.981,0
SPIKE,680,71,706,71,693,93.981,0
SPIKE,648,72,674,72,661,94.981,0
SPIKE,616,72,642,72,629,94.981,0
SPIKE,840,87,866,87,853,109.981,0
SPIKE,866,172,840,172,853,149.019,2
SPIKE,839,171,865,171,852,193.981,0
SPIKE,617,514,617,488,639.981,501,3
SPIKE,590,514,616,514,603,536.981,0
SPIKE,563,514,589,514,576,536.981,0
SPIKE,534,516,560,516,547,538.981,0
SPIKE,867,254,841,254,854,231.019,2
SPIKE,841,254,867,254,854,276.981,0
SPIKE,866,334,840,334,853,311.019,2
SPIKE,838,334,864,334,851,356.981,0
SPIKE,867,415,841,415,854,392.019,2
SPIKE,840,417,866,417,853,439.981,0
SPIKE,865,500,839,500,852,477.019,2
SPIKE,705,516,731,516,718,538.981,0
SPIKE,704,456,704,482,681.019,469,1
SPIKE,731,457,705,457,718,434.019,2
SPIKE,731,482,731,456,753.981,469,3
SPIKE,704,489,704,515,681.019,502,1
SPIKE,731,513,731,487,753.981,500,3
SPIKE,700,232,726,232,713,254.981,0
SPIKE,726,173,700,173,713,150.019,2
SPIKE,699,206,699,232,676.019,219,1
SPIKE,699,178,699,204,676.019,191,1
SPIKE,727,232,727,206,749.981,219,3
SPIKE,727,204,727,178,749.981,191,3
SPIKE,615,183,615,157,637.981,170,3
SPIKE,614,268,614,242,636.981,255,3
SPIKE,614,348,614,322,636.981,335,3
SPIKE,614,429,614,403,636.981,416,3
SPIKE,493,72,519,72,506,94.981,0
SPIKE,390,71,416,71,403,93.981,0
SPIKE,278,71,304,71,291,93.981,0
SPIKE,144,72,170,72,157,94.981,0
SPIKE,80,156,54,156,67,133.019,2
SPIKE,54,102,80,102,67,124.981,0
SPIKE,115,72,141,72,128,94.981,0
SPIKE,86,72,112,72,99,94.981,0
SPIKE,176,71,202,71,189,93.981,0
SPIKE,81,271,81,245,103.981,258,3
SPIKE,166,245,166,271,143.019,258,1
SPIKE,194,272,194,246,216.981,259,3
SPIKE,280,244,280,270,257.019,257,1
SPIKE,308,270,308,244,330.981,257,3
SPIKE,390,244,390,270,367.019,257,1
SPIKE,420,269,420,243,442.981,256,3
SPIKE,497,243,497,269,474.019,256,1
SPIKE,223,348,249,348,236,370.981,0
SPIKE,248,320,222,320,235,297.019,2
SPIKE,221,352,195,352,208,329.019,2
SPIKE,195,454,195,428,217.981,441,3
SPIKE,219,468,219,442,241.981,455,3
SPIKE,391,429,391,455,368.019,442,1
SPIKE,370,441,370,467,347.019,454,1
SPIKE,195,482,195,456,217.981,469,3
SPIKE,391,454,391,480,368.019,467,1
SPIKE,306,425,306,399,328.981,412,3
SPIKE,311,321,337,321,324,343.981,0
SPIKE,337,294,311,294,324,271.019,2
SPIKE,400,368,400,394,377.019,381,1
SPIKE,503,339,503,365,480.019,352,1
SPIKE,334,511,308,511,321,488.019,2
SPIKE,369,470,369,496,346.019,483,1
SPIKE,219,494,219,468,241.981,481,3
SPIKE,390,482,390,508,367.019,495,1
SPIKE,449,608,449,582,471.981,595,3
SPIKE,521,582,521,608,498.019,595,1
SPIKE,551,607,551,581,573.981,594,3
SPIKE,380,700,354,700,367,677.019,2
SPIKE,342,700,316,700,329,677.019,2
SPIKE,361,557,387,557,374,579.981,0
SPIKE,308,540,334,540,321,562.981,0
SPIKE,195,508,195,482,217.981,495,3
SPIKE,523,608,549,608,536,630.981,0
SPIKE,879,596,853,596,866,573.019,2
SPIKE,879,626,853,626,866,603.019,2
SPIKE,879,656,853,656,866,633.019,2
SPIKE,879,686,853,686,866,663.019,2
ELEVATOR,896,86,506,3,1
SHOOTER,592,117
SHOOTER,549,285
SHOOTER,541,365
SHOOTER,550,200
SHOOTER,581,446
