GROUND,500,30,510,30,0
GROUND,60,15,144,589,0
GROUND,15,15,98,559,0
GROUND,15,15,99,529,0
GROUND,15,15,99,499,0
GROUND,15,15,98,469,0
GROUND,15,15,128,469,0
GROUND,15,15,158,470,0
GROUND,15,15,188,470,0
GROUND,15,15,188,500,0
GROUND,15,15,158,523,0
GROUND,15,15,268,528,0
GROUND,15,15,268,498,0
GROUND,15,15,298,468,0
GROUND,15,15,328,467,0
GROUND,15,15,355,497,0
GROUND,15,15,355,527,1
GROUND,15,15,355,527,0
GROUND,15,15,279,558,0
GROUND,15,15,309,588,0
GROUND,15,15,340,575,0
GROUND,15,15,353,545,0
GROUND,15,15,436,588,0
GROUND,15,15,466,589,0
GROUND,15,15,490,559,0
GROUND,15,15,419,558,0
GROUND,15,15,418,528,0
GROUND,15,15,418,498,0
GROUND,15,15,419,468,0
GROUND,15,15,448,517,0
GROUND,15,15,474,487,0
GROUND,15,15,501,457,0
GROUND,15,15,478,529,0
GROUND,15,15,581,584,0
GROUND,15,15,582,554,0
GROUND,15,15,582,524,0
GROUND,15,15,582,494,0
GROUND,15,15,580,464,0
GROUND,15,15,612,577,0
GROUND,15,15,642,570,0
GROUND,15,15,672,545,0
GROUND,15,15,672,515,0
GROUND,15,15,665,484,0
GROUND,15,15,635,459,0
GROUND,15,15,605,464,0
GROUND,15,15,761,579,0
GROUND,15,15,732,549,0
GROUND,15,15,731,519,0
GROUND,15,15,740,487,0
GROUND,15,15,770,463,0
GROUND,15,15,800,483,0
GROUND,15,15,809,513,0
GROUND,15,15,801,543,0
GROUND,15,15,791,573,0
GROUND,15,15,863,578,0
GROUND,15,15,863,548,0
GROUND,15,15,863,518,0
GROUND,15,15,864,488,0
GROUND,15,15,865,458,0
GROUND,15,75,969,518,0
GROUND,15,15,893,565,0
GROUND,15,15,911,535,0
GROUND,15,15,921,505,0
GROUND,15,15,939,475,0
